,title,url,channel,description,thumbnail_url,views,uploded
0,Metallica: If Darkness Had a Son (Official Music Video),https://www.youtube.com/watch?v=x_t53a5Ons0,Metallica,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""2f740447-1ea9-46c0-aa6b-a0723e9278b3"")>",,1.2M  ,15 hours ago
1,"I Spent 10,000,000 Robux",https://www.youtube.com/watch?v=6GFwqT5bNNA,LazarBeam,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""e883e8c1-b172-4661-b5e3-b5e7d12af7ae"")>",,1.4M  ,1 day ago
2,Color Fest Season is Here! Clash of Clans Official,https://www.youtube.com/watch?v=zDzz8Tv0pN8,Clash of Clans,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""dcbbaf89-3367-40a8-9163-26ffc3856a37"")>",,2.5M  ,22 hours ago
3,Jake Paul Holds Back Tears On Show After Loss - BS Post-Fight Special,https://www.youtube.com/watch?v=412--23qbb4,BS w/ Jake Paul,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""3bfa5000-0180-4902-a837-8451ac00d5ae"")>",,408K  ,14 hours ago
4,I Got Exclusive Access to NBA All-Star Weekend!,https://www.youtube.com/watch?v=0nLoRgi1f78,Jesser,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""5d11f4a5-c2d9-4851-ae6e-9f332167e599"")>",,947K  ,1 day ago
5,NoCap - 40 Some Flow's (Official Video),https://www.youtube.com/watch?v=eTMItoVkFZY,NoCap,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""c341ffc7-67be-447b-8d55-29ce1d9c1f1e"")>",,162K  ,12 hours ago
6,Peter Pan & Wendy | Official Trailer | Disney+,https://www.youtube.com/watch?v=9Ji5U2sTlLU,Walt Disney Studios,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""e5025a6b-aba5-4359-bc06-116e99e8a225"")>",,1.5M  ,1 day ago
7,Food Theory: Costco DOESNâ€™T Save You Money!,https://www.youtube.com/watch?v=96K9MBvGDeA,The Food Theorists,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""6cfd1b6e-d716-4756-853b-4f0bb9c97f51"")>",,1.2M  ,1 day ago
8,ADHD but medicated,https://www.youtube.com/watch?v=oavSiNIUJO0,Ice Cream Sandwich,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""308e1a1c-c7a0-451c-a8d3-38fcbf7f1ffc"")>",,936K  ,1 day ago
9,Why Russia's Biggest Threat is Actually China,https://www.youtube.com/watch?v=Iibs7buNwxQ,RealLifeLore,"<selenium.webdriver.remote.webelement.WebElement (session=""beb4277dcf770af91570e17acc72048f"", element=""d468dda7-2c33-43f0-b4c6-2fd11ac73dea"")>",,1.2M  ,1 day ago
